time,vx,vy,wz
1702623829340449.0,0.20000000298023224,0.0,-0.05880704149603844
1702623829376481.0,0.20000000298023224,0.0,-0.05929064005613327
1702623829426686.0,0.20000000298023224,0.0,-0.05929064005613327
1702623829461822.0,0.20000000298023224,0.0,-0.05544288083910942
1702623829497959.0,0.20000000298023224,0.0,-0.03626779466867447
1702623829540310.0,0.20000000298023224,0.0,-0.031770821660757065
1702623829578740.0,0.20000000298023224,0.0,-0.0221958477050066
1702623829618385.0,0.20000000298023224,0.0,-0.03224487602710724
1702623829659996.0,0.20000000298023224,0.0,-0.032529789954423904
1702623829702212.0,0.20000000298023224,0.0,-0.0475655160844326
1702623829741057.0,0.20000000298023224,0.0,-0.04308159649372101
1702623829785444.0,0.20000000298023224,0.0,-0.03856230899691582
1702623829806994.0,0.20000000298023224,0.0,-0.03856230899691582
1702623829822628.0,0.20000000298023224,0.0,-0.02402711845934391
1702623829869057.0,0.20000000298023224,0.0,-0.024262089282274246
1702623829905880.0,0.20000000298023224,0.0,-0.024501245468854904
1702623829945065.0,0.20000000298023224,0.0,-0.024744298309087753
1702623829991331.0,0.20000000298023224,0.0,-0.02991904504597187
1702623830027528.0,0.20000000298023224,0.0,-0.035148605704307556
1702623830065682.0,0.20000000298023224,0.0,-0.050286319106817245
1702623830109484.0,0.20000000298023224,0.0,-0.04589129239320755
1702623830149571.0,0.20000000298023224,0.0,-0.03652726858854294
1702623830188574.0,0.20000000298023224,0.0,-0.031986694782972336
1702623830230833.0,0.20000000298023224,0.0,-0.027405453845858574
1702623830271459.0,0.20000000298023224,0.0,-0.017843913286924362
1702623830317761.0,0.20000000298023224,0.0,-0.00837630033493042
1702623830349784.0,0.20000000298023224,0.0,0.0013803956098854542
1702623830395231.0,0.20000000298023224,0.0,0.006322646513581276
1702623830433258.0,0.20000000298023224,0.0,0.021178677678108215
1702623830473318.0,0.20000000298023224,0.0,0.021423738449811935
1702623830513447.0,0.20000000298023224,0.0,0.011848154477775097
1702623830554485.0,0.20000000298023224,0.0,-0.0027850130572915077
1702623830595681.0,0.20000000298023224,0.0,-0.007744376081973314
1702623830634698.0,0.20000000298023224,0.0,0.0020155608654022217
1702623830675008.0,0.20000000298023224,0.0,-0.012742577120661736
1702623830720444.0,0.20000000298023224,0.0,-0.012896907515823841
1702623830755789.0,0.20000000298023224,0.0,-0.003209272865206003
1702623830797175.0,0.20000000298023224,0.0,0.016453668475151062
1702623830807199.0,0.20000000298023224,0.0,0.016453668475151062
1702623830838759.0,0.20000000298023224,0.0,0.016655296087265015
1702623830881901.0,0.20000000298023224,0.0,0.021793898195028305
1702623830920942.0,0.20000000298023224,0.0,0.022072091698646545
1702623830965850.0,0.20000000298023224,0.0,0.02728685364127159
1702623831000111.0,0.20000000298023224,0.0,-0.00683574890717864
1702623831040435.0,0.20000000298023224,0.0,-0.021709056571125984
1702623831080785.0,0.20000000298023224,0.0,-0.03164499253034592
1702623831127199.0,0.20000000298023224,0.0,-0.027175340801477432
1702623831162626.0,0.20000000298023224,0.0,-0.03741666302084923
1702623831203364.0,0.20000000298023224,0.0,-0.04288572072982788
1702623831244879.0,0.20000000298023224,0.0,-0.03367125988006592
1702623831289516.0,0.20000000298023224,0.0,-0.024320634081959724
